ref,company,company_location,review_date,country_of_bean_origin,specific_bean_origin_or_bar_name,cocoa_percent,rating,counts_of_ingredients,beans,cocoa_butter,vanilla,lecithin,salt,sugar,sweetener_without_sugar,first_taste,number_of_tastes
2454,5150,U.S.A,2019,Madagascar,"Bejofo Estate, batch 1",76.0,3.75,3,1,1,0,0,0,1,0,cocoa,3
2458,5150,U.S.A,2019,Dominican republic,"Zorzal, batch 1",76.0,3.5,3,1,1,0,0,0,1,0,cocoa,3
2454,5150,U.S.A,2019,Tanzania,"Kokoa Kamili, batch 1",76.0,3.25,3,1,1,0,0,0,1,0,rich cocoa,3
797,A. Morin,France,2012,Peru,Peru,63.0,3.75,4,1,1,0,1,0,1,0,fruity,3
797,A. Morin,France,2012,Bolivia,Bolivia,70.0,3.5,4,1,1,0,1,0,1,0,vegetal,2
1015,A. Morin,France,2013,Venezuela,Chuao,70.0,4.0,4,1,1,0,1,0,1,0,oily,4
1019,A. Morin,France,2013,Peru,Chanchamayo Province,63.0,4.0,3,1,1,0,0,0,1,0,sweet,3
1011,A. Morin,France,2013,Ecuador,Equateur,70.0,3.75,4,1,1,0,1,0,1,0,sandy,4
1019,A. Morin,France,2013,Peru,Chanchamayo Province,70.0,3.5,4,1,1,0,1,0,1,0,cocoa,3
1011,A. Morin,France,2013,Brazil,Brazil,70.0,3.25,4,1,1,0,1,0,1,0,mild tobacco,1
1015,A. Morin,France,2013,Papua new guinea,Papua New Guinea,70.0,3.25,4,1,1,0,1,0,1,0,mild fruit,2
1019,A. Morin,France,2013,Peru,Piura,70.0,3.25,4,1,1,0,1,0,1,0,green,3
1011,A. Morin,France,2013,Madagascar,"Madagascar, Criollo",70.0,3.0,4,1,1,0,1,0,1,0,sticky,3
1015,A. Morin,France,2013,Burma,Birmanie,70.0,3.0,4,1,1,0,1,0,1,0,sticky,3
1011,A. Morin,France,2013,Panama,Panama,70.0,2.75,4,1,1,0,1,0,1,0,brief fruit note,3
1015,A. Morin,France,2013,Colombia,Colombie,70.0,2.75,4,1,1,0,1,0,1,0,burnt rubber,2
1319,A. Morin,France,2014,Peru,Pablino,70.0,4.0,4,1,1,0,1,0,1,0,delicate,3
1319,A. Morin,France,2014,Venezuela,"Puerto Cabello, Criollo",70.0,3.75,4,1,1,0,1,0,1,0,astringent,3
1315,A. Morin,France,2014,Cuba,Cuba,,3.5,4,1,1,0,1,0,1,0,sliglty dry,2
